,0,1,2
0,24.0,47.0,3
1,29.0,46.0,5
2,29.0,95.0,5
3,29.0,96.0,5
4,20.0,76.0,1
5,30.0,90.0,0
6,24.0,85.0,3
7,26.0,58.0,4
8,25.0,78.0,3
9,20.0,43.0,1
10,26.0,66.0,4
11,29.0,88.0,5
12,20.0,86.0,1
13,26.0,83.0,4
14,29.0,83.0,5
15,22.0,53.0,2
16,29.0,69.0,5
17,20.0,56.0,1
18,22.0,71.0,2
19,28.0,71.0,5
20,24.0,74.0,3
21,30.0,90.0,0
22,24.0,49.0,3
23,29.0,45.0,5
24,25.0,49.0,3
25,30.0,70.0,0
26,23.0,70.0,2
27,23.0,61.0,2
28,28.0,76.0,5
29,20.0,68.0,1
30,23.0,83.0,2
31,29.0,56.0,5
32,28.0,80.0,5
33,24.0,80.0,3
34,30.0,83.0,0
35,20.0,96.0,1
36,22.0,58.0,2
37,22.0,89.0,2
38,20.0,91.0,1
39,23.0,65.0,2
40,30.0,51.0,0
41,22.0,66.0,2
42,20.0,91.0,1
43,27.0,41.0,4
44,20.0,56.0,1
45,23.0,58.0,2
46,22.0,67.0,2
47,26.0,49.0,4
48,20.0,62.0,1
49,23.0,73.0,2
50,29.0,63.0,5
51,30.0,67.0,0
52,21.0,43.0,1
53,26.0,66.0,4
54,29.0,84.0,5
55,23.0,82.0,2
56,30.0,66.0,0
57,22.0,48.0,2
58,30.0,88.0,0
59,25.0,50.0,3
60,20.0,62.0,1
61,25.0,66.0,3
62,20.0,47.0,1
63,24.0,49.0,3
64,30.0,58.0,0
65,22.0,75.0,2
66,27.0,89.0,4
67,28.0,65.0,5
68,25.0,51.0,3
69,25.0,82.0,3
70,25.0,56.0,3
71,23.0,40.0,2
72,20.0,65.0,1
73,29.0,75.0,5
74,23.0,100.0,2
75,30.0,49.0,0
76,24.0,86.0,3
77,24.0,63.0,3
78,23.0,84.0,2
79,21.0,53.0,1
80,20.0,52.0,1
81,22.0,96.0,2
82,23.0,72.0,2
83,29.0,76.0,5
84,28.0,49.0,5
85,22.0,81.0,2
86,25.0,58.0,3
87,23.0,91.0,2
88,20.0,74.0,1
89,29.0,74.0,5
90,22.0,47.0,2
91,26.0,97.0,4
92,24.0,79.0,3
93,27.0,66.0,4
94,26.0,65.0,4
95,22.0,49.0,2
96,29.0,99.0,5
97,23.0,100.0,2
98,24.0,45.0,3
99,23.0,96.0,2
100,29.0,50.0,5
101,25.0,89.0,3
102,26.0,63.0,4
103,29.0,92.0,5
104,30.0,54.0,0
105,25.0,79.0,3
106,25.0,56.0,3
107,22.0,74.0,2
108,23.0,61.0,2
109,25.0,74.0,3
110,26.0,80.0,4
111,27.0,70.0,4
112,27.0,47.0,4
113,23.0,87.0,2
114,29.0,72.0,5
115,23.0,91.0,2
116,26.0,75.0,4
117,24.0,57.0,3
118,22.0,78.0,2
119,26.0,41.0,4
120,26.0,100.0,4
121,23.0,93.0,2
122,24.0,91.0,3
123,25.0,97.0,3
124,30.0,67.0,0
125,23.0,71.0,2
126,21.0,59.0,1
127,30.0,83.0,0
128,25.0,40.0,3
129,21.0,67.0,1
130,29.0,65.0,5
131,23.0,91.0,2
132,21.0,69.0,1
133,29.0,44.0,5
134,25.0,59.0,3
135,26.0,55.0,4
136,21.0,63.0,1
137,27.0,69.0,4
138,25.0,70.0,3
139,24.0,72.0,3
140,23.0,41.0,2
141,23.0,46.0,2
142,23.0,84.0,2
143,30.0,41.0,0
144,20.0,80.0,1
145,25.0,79.0,3
146,27.0,96.0,4
147,28.0,44.0,5
148,20.0,55.0,1
149,24.0,58.0,3
150,25.0,91.0,3
151,22.0,51.0,2
152,21.0,81.0,1
153,28.0,40.0,5
154,30.0,73.0,0
155,29.0,86.0,5
156,27.0,64.0,4
157,22.0,97.0,2
158,30.0,52.0,0
159,20.0,77.0,1
160,28.0,56.0,5
161,24.0,87.0,3
162,27.0,88.0,4
163,24.0,96.0,3
164,26.0,77.0,4
165,21.0,70.0,1
166,21.0,66.0,1
167,27.0,98.0,4
168,21.0,96.0,1
169,30.0,54.0,0
170,26.0,43.0,4
171,24.0,97.0,3
172,25.0,58.0,3
173,26.0,53.0,4
174,21.0,63.0,1
175,25.0,78.0,3
176,25.0,74.0,3
177,21.0,90.0,1
178,29.0,87.0,5
179,20.0,86.0,1
180,24.0,65.0,3
181,23.0,84.0,2
182,30.0,73.0,0
183,28.0,81.0,5
184,29.0,50.0,5
185,23.0,100.0,2
186,29.0,79.0,5
187,29.0,52.0,5
188,25.0,52.0,3
189,30.0,78.0,0
190,30.0,78.0,0
191,24.0,85.0,3
192,27.0,44.0,4
193,30.0,89.0,0
194,29.0,87.0,5
195,22.0,50.0,2
196,20.0,96.0,1
197,23.0,63.0,2
198,28.0,65.0,5
199,24.0,42.0,3
200,28.0,78.0,5
201,25.0,40.0,3
202,23.0,59.0,2
203,28.0,86.0,5
204,26.0,97.0,4
205,20.0,45.0,1
206,27.0,86.0,4
207,22.0,40.0,2
208,30.0,83.0,0
209,20.0,71.0,1
210,22.0,70.0,2
211,21.0,74.0,1
212,23.0,47.0,2
213,21.0,82.0,1
214,22.0,75.0,2
215,30.0,89.0,0
216,28.0,76.0,5
217,30.0,66.0,0
218,23.0,70.0,2
219,21.0,75.0,1
220,21.0,70.0,1
221,22.0,90.0,2
222,21.0,80.0,1
223,23.0,96.0,2
224,27.0,80.0,4
225,29.0,71.0,5
226,21.0,53.0,1
227,23.0,63.0,2
228,29.0,72.0,5
229,23.0,45.0,2
230,27.0,46.0,4
231,22.0,51.0,2
232,28.0,84.0,5
233,21.0,80.0,1
234,28.0,81.0,5
235,26.0,48.0,4
236,22.0,93.0,2
237,29.0,70.0,5
238,28.0,66.0,5
239,30.0,97.0,0
240,20.0,99.0,1
241,20.0,100.0,1
242,27.0,40.0,4
243,22.0,76.0,2
244,23.0,49.0,2
245,21.0,45.0,1
246,24.0,96.0,3
247,30.0,77.0,0
248,29.0,79.0,5
249,22.0,79.0,2
250,25.0,87.0,3
251,27.0,61.0,4
252,27.0,99.0,4
253,22.0,86.0,2
254,30.0,92.0,0
255,28.0,73.0,5
256,20.0,91.0,1
257,26.0,71.0,4
258,21.0,67.0,1
259,27.0,52.0,4
260,28.0,77.0,5
261,26.0,59.0,4
262,25.0,44.0,3
263,27.0,84.0,4
264,26.0,75.0,4
265,24.0,97.0,3
266,30.0,50.0,0
267,30.0,73.0,0
268,30.0,92.0,0
269,28.0,75.0,5
270,20.0,91.0,1
271,28.0,46.0,5
272,26.0,96.0,4
273,27.0,74.0,4
274,28.0,76.0,5
275,26.0,64.0,4
276,22.0,84.0,2
277,28.0,50.0,5
278,26.0,67.0,4
279,28.0,44.0,5
280,21.0,83.0,1
281,23.0,96.0,2
282,22.0,56.0,2
283,23.0,78.0,2
284,25.0,72.0,3
285,29.0,73.0,5
286,26.0,71.0,4
287,28.0,78.0,5
288,29.0,53.0,5
289,28.0,43.0,5
290,28.0,94.0,5
291,30.0,90.0,0
292,23.0,86.0,2
293,24.0,63.0,3
294,23.0,49.0,2
295,30.0,71.0,0
296,20.0,49.0,1
297,27.0,56.0,4
298,29.0,56.0,5
299,30.0,44.0,0
